kaupverd;teg_eign;byggar;birtm2;matssvaedi
18700;Íbúðareign;1970;123.7;200
15850;Íbúðareign;1953;67.9;70
14500;Íbúðareign;1921;45.7;20
15200;Íbúðareign;1967;83.2;200
21000;Íbúðareign;1952;93.1;70
35000;Einbýlishús;1990;160.7;6040
18000;Íbúðareign;1973;89.5;320
13500;Íbúðareign;1971;49.9;320
17150;Íbúðareign;1983;76.1;220
67000;Einbýlishús;1970;197.1;280
23500;Íbúðareign;1986;85.4;90
65000;Parhús;2011;190;530
45000;Íbúðareign;2004;131.1;510
51500;Íbúðareign;1995;216.4;320
24000;Íbúðareign;1994;92.7;330
22600;Íbúðareign;1993;83.9;330
24900;Íbúðareign;1960;104.2;100
20000;Íbúðareign;1960;86.1;72
31000;Íbúðareign;1982;123.2;72
33400;Íbúðareign;1945;148.7;660
26900;Íbúðareign;1993;119.7;650
36500;Íbúðareign;1960;147.4;100
31500;Íbúðareign;1945;131.1;90
23000;Raðhús;1961;109.3;284
22000;Íbúðareign;1974;113;150
20800;Íbúðareign;1984;109.3;600
19692;Íbúðareign;1967;101.9;200
38000;Einbýlishús;1984;198;6040
28800;Íbúðareign;2009;142.2;6010
27500;Raðhús;1984;179.6;6040
21000;Íbúðareign;1985;80.3;85
24900;Íbúðareign;1992;136;130
36100;Einbýlishús;1956;186.2;600
22500;Íbúðareign;1993;111.1;130
15528;Íbúðareign;1974;63.7;161
17550;Íbúðareign;1934;58.4;11
18600;Íbúðareign;1960;77.3;90
30500;Íbúðareign;1955;105.4;70
17850;Íbúðareign;1992;59.7;400
34600;Íbúðareign;1963;161.3;91
27000;Íbúðareign;1948;135.4;100
14000;Íbúðareign;1961;55.6;80
17583;Íbúðareign;1979;76.6;160
52800;Raðhús;1969;220.7;280
23800;Íbúðareign;1961;141.1;100
53000;Einbýlishús;1979;231.8;600
28553;Íbúðareign;2006;127.8;630
15100;Íbúðareign;1921;77.2;20
22500;Íbúðareign;1998;99.8;140
15500;Íbúðareign;1968;86;600
31000;Íbúðareign;2007;117.3;680
24000;Íbúðareign;1968;129.4;600
31900;Íbúðareign;2008;124.3;640
38500;Íbúðareign;2008;158;511
19000;Íbúðareign;1991;108.7;620
20500;Íbúðareign;1966;125.7;600
56000;Einbýlishús;2011;194.9;340
24850;Íbúðareign;2006;98.8;350
19859;Íbúðareign;1994;66.8;330
24000;Íbúðareign;1963;91.4;90
63800;Einbýlishús;1924;243.1;25
48500;Íbúðareign;2009;144;400
34000;Einbýlishús;1943;150.7;100
26200;Íbúðareign;2005;99.4;130
30900;Raðhús;1988;107.7;800
23500;Raðhús;1979;146.3;6040
41500;Einbýlishús;1987;224;6020
36500;Einbýlishús;1969;179.4;6030
17900;Íbúðareign;1946;130;6020
25000;Íbúðareign;2004;106.3;630
59500;Einbýlishús;1989;269.8;650
25250;Íbúðareign;1957;111.2;600
17906;Íbúðareign;1963;75.2;600
28800;Íbúðareign;2008;129.9;351
18000;Íbúðareign;1989;65.6;25
36000;Íbúðareign;1965;148;400
12300;Íbúðareign;1980;42.9;160
25000;Íbúðareign;1985;89.2;85
14600;Íbúðareign;1976;138.8;150
27400;Íbúðareign;2004;113.6;180
28200;Íbúðareign;1950;128.4;90
34000;Íbúðareign;2006;107.1;90
53700;Einbýlishús;1990;183;120
20000;Íbúðareign;1930;81.5;11
25500;Íbúðareign;1935;121.7;20
15500;Íbúðareign;1935;65.1;20
27000;Íbúðareign;1935;165.3;20
27300;Íbúðareign;2003;107.2;700
28000;Íbúðareign;2007;140.4;351
36400;Íbúðareign;1999;156.9;340
50000;Einbýlishús;1962;222.2;320
22000;Íbúðareign;2007;103.6;351
29138;Íbúðareign;2003;127.3;340
32000;Íbúðareign;2007;120.4;320
36000;Einbýlishús;1955;136.9;320
42000;Íbúðareign;2007;169.6;351
29800;Íbúðareign;2008;122.7;350
19549;Íbúðareign;1992;84;210
32500;Íbúðareign;1958;131.1;281
34000;Íbúðareign;2007;166.8;351
21500;Íbúðareign;1967;120.4;200
28800;Íbúðareign;1958;143.8;100
25000;Íbúðareign;1967;85.2;20
15134;Íbúðareign;1959;55.6;80
25500;Íbúðareign;1919;75.4;20
16900;Íbúðareign;1962;74.9;91
32000;Parhús;1984;137;810
13000;Íbúðareign;1949;69.4;80
24000;Íbúðareign;1989;85.5;72
22550;Íbúðareign;1975;114.2;150
27000;Íbúðareign;1980;134.3;400
99900;Einbýlishús;1980;321;400
27900;Íbúðareign;1998;141;130
25500;Íbúðareign;1967;118.8;100
28000;Íbúðareign;1945;122.2;90
143000;Einbýlishús;2003;363.5;520
79900;Einbýlishús;1991;248.7;500
21000;Íbúðareign;2005;75;600
29500;Íbúðareign;1997;99.7;320
17000;Íbúðareign;1973;95.8;600
35500;Íbúðareign;1952;174.8;100
22500;Íbúðareign;1995;92.8;130
26900;Íbúðareign;1959;134.4;100
18500;Íbúðareign;1964;87.2;91
16299;Íbúðareign;1940;56.5;72
42000;Einbýlishús;1948;181.9;100
110000;Einbýlishús;1941;379.3;25
22000;Íbúðareign;1986;87.6;220
24400;Íbúðareign;1963;101.3;91
18850;Íbúðareign;1943;70.9;90
27000;Íbúðareign;1956;97.2;72
20580;Íbúðareign;1991;101.4;650
19750;Íbúðareign;1988;108.7;600
23210;Íbúðareign;2006;108.4;630
77000;Einbýlishús;1969;350;560
15000;Íbúðareign;1963;72.8;100
16600;Íbúðareign;1939;56.6;90
14200;Íbúðareign;1979;71.2;170
34000;Íbúðareign;2000;100.9;72
18400;Íbúðareign;1978;78.2;11
23400;Íbúðareign;1992;106.4;130
32000;Íbúðareign;1956;122.4;72
32000;Íbúðareign;1967;155.4;400
23100;Íbúðareign;1954;81.8;70
27000;Íbúðareign;1981;87.6;20
47500;Íbúðareign;2009;142.6;400
22700;Íbúðareign;1963;88.6;100
19500;Íbúðareign;1957;77.4;11
17700;Íbúðareign;1944;67.6;100
18200;Íbúðareign;1967;59.5;72
23100;Íbúðareign;1986;97.4;120
19500;Íbúðareign;1979;97.4;320
16200;Íbúðareign;1991;74;210
36000;Einbýlishús;1949;277.7;100
43000;Raðhús;2006;203.3;130
36000;Íbúðareign;1970;127.8;280
21250;Raðhús;1984;154.1;2050
24496;Raðhús;1999;110;2050
27000;Íbúðareign;2008;115.1;511
54500;Íbúðareign;1931;210.3;31
23000;Íbúðareign;1989;74.4;120
30500;Íbúðareign;2001;121.8;110
16000;Íbúðareign;1941;59.5;72
28800;Íbúðareign;1958;119.8;100
18000;Íbúðareign;1967;110;200
18748;Íbúðareign;1983;56.2;72
31000;Íbúðareign;1956;140.8;281
22500;Íbúðareign;1948;85.5;80
14500;Íbúðareign;1967;72;200
24900;Íbúðareign;1967;125.7;200
31100;Íbúðareign;1997;158.6;340
22600;Íbúðareign;1998;94.3;130
22300;Íbúðareign;1995;87.2;130
35750;Íbúðareign;2004;116.8;510
25750;Íbúðareign;2001;108.8;640
12900;Íbúðareign;1953;40.8;100
12500;Íbúðareign;1973;62.4;160
25000;Raðhús;1960;179.9;2050
33000;Einbýlishús;1965;207.3;2050
24900;Íbúðareign;1949;95.7;70
28160;Íbúðareign;1991;84.8;280
15700;Íbúðareign;1983;51.9;72
31500;Íbúðareign;1914;108.8;25
21000;Íbúðareign;1959;91;100
16000;Íbúðareign;1961;54.2;90
22650;Íbúðareign;1928;81.8;660
28500;Íbúðareign;1987;130.3;500
41000;Einbýlishús;1964;153.3;500
15800;Íbúðareign;1979;78.1;320
39500;Íbúðareign;2005;159.4;350
22430;Íbúðareign;1947;103.2;600
51000;Raðhús;1960;227.4;100
19200;Íbúðareign;1995;94.8;130
43500;Raðhús;1960;186.8;100
31800;Íbúðareign;1983;123.1;20
41000;Raðhús;1995;171.3;130
15100;Íbúðareign;1973;79.3;160
33000;Íbúðareign;1942;202.1;100
17900;Íbúðareign;1918;80.9;20
31000;Íbúðareign;1906;115.7;20
15000;Íbúðareign;1973;56.8;300
21000;Íbúðareign;1996;91.6;340
38500;Íbúðareign;2006;172.2;350
20600;Íbúðareign;1971;106.5;320
42500;Íbúðareign;2009;115.9;400
25700;Íbúðareign;1992;114.3;130
15300;Íbúðareign;1991;70.1;800
17000;Íbúðareign;1991;51.2;281
10100;Íbúðareign;1992;36.7;800
28457;Parhús;2005;156.2;2040
22705;Íbúðareign;1936;94.4;20
14100;Íbúðareign;1962;59.2;91
22200;Íbúðareign;1984;87.9;85
47744;Íbúðareign;2010;149.3;90
75000;Einbýlishús;1971;281.5;400
30500;Íbúðareign;1985;160;220
25300;Íbúðareign;1994;103.2;130
16900;Íbúðareign;1976;101.7;2040
30500;Íbúðareign;2007;118.3;680
34010;Raðhús;2004;194.4;630
34400;Raðhús;1992;208.8;620
57500;Einbýlishús;1990;226.5;650
23500;Íbúðareign;1994;89.5;330
25800;Íbúðareign;1971;113;320
20300;Íbúðareign;1994;83.8;130
52000;Raðhús;1980;213.9;400
15000;Íbúðareign;1992;78.2;620
16357;Íbúðareign;1987;77.3;120
18200;Íbúðareign;1935;72;20
14000;Íbúðareign;1986;42.9;90
18000;Íbúðareign;1967;102.3;200
18900;Íbúðareign;1945;68;90
22000;Íbúðareign;1973;97.8;11
18500;Íbúðareign;1974;129.9;161
19400;Íbúðareign;1978;95.9;800
19000;Íbúðareign;1959;79.1;281
19000;Íbúðareign;1996;86.5;130
22700;Íbúðareign;1937;78;90
24370;Einbýlishús;1959;148.6;2040
57000;Raðhús;2007;248.9;511
6500;Íbúðareign;1969;23.3;600
27500;Íbúðareign;2008;111.2;600
34500;Parhús;1989;170.6;650
42900;Íbúðareign;2008;132;600
23000;Íbúðareign;2006;92.8;510
28000;Íbúðareign;2003;112.7;340
25500;Íbúðareign;2007;103.7;351
30800;Íbúðareign;1968;153.2;320
32000;Einbýlishús;1947;214.2;300
18200;Íbúðareign;1979;93.2;160
50000;Raðhús;1972;204.9;280
17500;Íbúðareign;1985;103.9;600
17950;Íbúðareign;1989;80.3;72
50900;Einbýlishús;1999;236.8;140
20757;Íbúðareign;1978;98.5;150
15800;Íbúðareign;2007;71.3;160
28400;Íbúðareign;1985;99.2;72
25000;Íbúðareign;1996;93.3;330
29500;Íbúðareign;2001;130;340
29200;Íbúðareign;1966;159.2;320
22832;Íbúðareign;1966;99.3;200
22000;Íbúðareign;1960;99.5;100
33900;Íbúðareign;1987;115.1;210
33000;Raðhús;1960;142.1;100
23500;Íbúðareign;1975;115.1;150
39300;Íbúðareign;1958;176.9;90
16500;Íbúðareign;1936;68.9;90
22600;Íbúðareign;1966;91.3;100
29500;Íbúðareign;1946;145.9;80
16000;Íbúðareign;1949;69.7;100
35500;Íbúðareign;1960;168.3;100
13500;Íbúðareign;1985;58;220
25000;Íbúðareign;2008;105.2;600
18950;Íbúðareign;1999;91.2;6080
41000;Einbýlishús;1958;216.5;100
22200;Íbúðareign;1930;84.3;20
14000;Íbúðareign;1952;62.4;284
41900;Íbúðareign;1931;129.7;25
110000;Einbýlishús;1999;242;72
17900;Íbúðareign;1983;68.4;72
31000;Einbýlishús;1969;168.7;2050
33000;Íbúðareign;2006;131.1;510
21500;Íbúðareign;2005;84.9;630
53000;Einbýlishús;1972;189.9;500
11200;Íbúðareign;1977;40.2;320
54200;Einbýlishús;1975;263.8;150
30000;Íbúðareign;1989;157.8;120
29000;Íbúðareign;2004;129.8;180
16500;Íbúðareign;1991;78.5;130
68000;Einbýlishús;1970;225.4;280
28400;Íbúðareign;1984;112.7;210
19000;Íbúðareign;1988;92.4;120
18400;Íbúðareign;1958;87.6;100
14750;Íbúðareign;1993;86.1;6080
16570;Íbúðareign;1951;123.5;6020
19977;Íbúðareign;1987;92.8;680
71000;Íbúðareign;2007;165.6;320
37000;Raðhús;2006;167.7;6010
28000;Einbýlishús;1965;175.8;2050
13302;Íbúðareign;1955;61.2;2050
19500;Íbúðareign;1995;90;130
20500;Íbúðareign;2001;91.5;620
16850;Íbúðareign;1995;80.9;130
8700;Íbúðareign;1976;49;6030
38100;Íbúðareign;2007;147.2;100
50000;Einbýlishús;1985;188.9;220
24900;Raðhús;1989;85;160
30900;Íbúðareign;2001;103.5;90
18400;Íbúðareign;2003;78.8;630
36650;Íbúðareign;2006;138.3;351
47000;Raðhús;2004;220.2;810
44000;Einbýlishús;1984;208.6;830
58000;Einbýlishús;1982;269;800
37800;Parhús;1989;184.4;800
15200;Íbúðareign;1951;62.2;284
20600;Íbúðareign;1946;99.7;80
15000;Íbúðareign;1991;66.5;620
31000;Íbúðareign;2005;152.4;600
24500;Íbúðareign;2001;110.3;640
42500;Íbúðareign;2004;131.1;510
27500;Íbúðareign;2007;103;350
27000;Íbúðareign;2007;103;350
26200;Íbúðareign;2008;113.6;351
24500;Íbúðareign;2006;88.5;350
32000;Íbúðareign;2007;157.8;351
57500;Einbýlishús;1995;245.9;330
19000;Íbúðareign;2007;80.2;270
13000;Íbúðareign;2000;66.8;6020
20770;Íbúðareign;2006;116.1;2040
25412;Einbýlishús;1980;197.6;2040
44600;Íbúðareign;2008;159.4;511
27500;Íbúðareign;2006;101.7;510
27000;Íbúðareign;1991;110.7;650
25000;Íbúðareign;2006;105.3;351
43000;Parhús;1997;186.1;340
20750;Íbúðareign;1995;95.7;130
26000;Íbúðareign;2007;143.2;351
34800;Íbúðareign;1954;195.7;600
13300;Íbúðareign;1926;92.5;6020
21500;Íbúðareign;1960;88.5;100
24300;Íbúðareign;1934;97;20
18500;Íbúðareign;1977;101.4;150
12170;Íbúðareign;1986;42.7;220
22700;Íbúðareign;2003;96.1;180
13100;Íbúðareign;1987;56.5;220
25500;Íbúðareign;2001;81.8;90
20400;Íbúðareign;1958;82.2;100
10400;Íbúðareign;1943;67.8;6020
6000;Einbýlishús;1945;73.1;2040
57000;Raðhús;2007;242.6;511
32000;Íbúðareign;2008;127;510
18700;Íbúðareign;1996;79.6;680
22800;Íbúðareign;2007;110.3;351
15000;Íbúðareign;1963;64.9;300
30700;Íbúðareign;2006;128.7;351
20900;Íbúðareign;2011;78.4;351
21230;Íbúðareign;2011;79.9;351
21230;Íbúðareign;2011;79.5;351
14800;Íbúðareign;1988;102.9;6040
26500;Íbúðareign;1990;103.6;120
16400;Íbúðareign;1978;50.4;72
19000;Íbúðareign;1958;72;11
13500;Íbúðareign;1930;50.3;20
43000;Raðhús;1967;231.8;100
23900;Íbúðareign;1997;103.6;130
30000;Íbúðareign;1946;141.1;80
12000;Íbúðareign;1946;31.2;80
17600;Íbúðareign;1979;74.6;160
23600;Íbúðareign;1967;120.1;200
47700;Raðhús;1960;220.5;100
16000;Íbúðareign;1962;80;90
26000;Íbúðareign;2005;99;130
12900;Íbúðareign;1973;55.3;160
24000;Íbúðareign;1950;125.8;80
9400;Íbúðareign;1941;35.4;11
43500;Raðhús;1980;284.3;220
21500;Íbúðareign;1986;90.2;220
19200;Íbúðareign;1913;64.3;20
47000;Raðhús;2002;208.7;180
20750;Íbúðareign;1985;93.4;120
19200;Íbúðareign;1937;72.7;25
22400;Íbúðareign;1926;82.1;20
23500;Íbúðareign;1999;102;130
20613;Íbúðareign;1958;79.4;100
18800;Íbúðareign;1990;63.4;90
36000;Einbýlishús;1979;186.2;6040
24000;Íbúðareign;1963;129.2;6030
10500;Íbúðareign;1942;130.3;2050
19500;Íbúðareign;1965;116.3;600
16500;Íbúðareign;1963;89.4;680
20700;Íbúðareign;2005;83.8;630
33500;Íbúðareign;2004;141.1;510
27700;Íbúðareign;1987;136.6;500
43500;Einbýlishús;1994;171.9;650
7500;Íbúðareign;1965;36.6;600
22400;Íbúðareign;1996;90.4;330
44250;Raðhús;1973;228;320
18000;Raðhús;1969;80.6;6030
51000;Raðhús;1970;216.4;280
22500;Íbúðareign;2004;93.3;180
25500;Íbúðareign;2004;122.4;810
25500;Raðhús;1972;180.9;810
29028;Íbúðareign;2006;142.5;511
41400;Einbýlishús;1987;171.1;120
44500;Íbúðareign;2010;143.9;90
31500;Íbúðareign;1947;117.3;80
20000;Einbýlishús;1939;176.4;6020
15900;Íbúðareign;1979;59.5;160
18500;Íbúðareign;1957;82.5;100
